Cluster,Entities,Tasks
24,"3d modelling, 2d drawings","3d modelling, 2d drawings, client meetings and site visits"
30,"client meetings, site visits, case verification, client communication, client visits","Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization., 3d modelling, 2d drawings, client meetings and site visits, Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed."
1,"Preparing L3 Baseline Schedule, Preparing lookahead schedules",1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.
26,"Progress monitoring, Preparing Progress reports",1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team.
32,"Control, Help, Support, Configuration, Teaching, Art","Help students pass exams, Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products., 1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team., Teaching Art as a subject and beyond"
8,"Coordination with Engineering Team, logistics, technical delivery, department coordination, technical operations","Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization., 1) Preparing & monitoring L3 Baseline Schedule (2) Progress monitoring & control (3) Preparing of Progress reports & lookahead schedules. (4) Coordination with the Engineering Team., Assisting doctor, handling patients, technical operations, overall flow of the wellness center, Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI, Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals"
12,"run department, retail units","To run the department of Orthopedic surgery, Manage All processes of manufacturing and retail units."
10,"orthopedic surgery, Assisting doctor, handling patients","To run the department of Orthopedic surgery, Assisting doctor, handling patients, technical operations, overall flow of the wellness center"
18,"BSNL broadband, FTTH networking","BSNL broadband, banking leased circuit, all FTTH networking"
20,banking leased circuit,"BSNL broadband, banking leased circuit, all FTTH networking"
36,"Building data products, Overall Product Ownership, Hardware products, SAAS products","Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products., Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals"
33,"analytics products, data analysis, Analytics projects, Oracle Analytics, Analytics, profit analysis, analytical techniques","Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals, Analytics and risk management along with asset allocation., Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed., Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI"
39,"platforms, Cloud architecture","Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS., Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals"
27,"procurement, requirements gathering, quotations preparation","I was responsible for developing the backend software development requirements for the Team's product., Building data & analytics products & platforms (logistics & procurement) for Aditya Birla businesses like UTCL, Chemicals, Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed."
28,operate app,to operate our app & to give sales pitching to clients
4,"give sales pitching to clients, sales and marketing, selling goods, Marketing, Sales, sales","to operate our app & to give sales pitching to clients, Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed., Selling of good, diamond,platinum ti customers ,handling stock, casheir, I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds., Marketing, production, expansion, Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products."
35,"manage accounts, financial advising, Financial Management, asset allocation, handling accounts","Handling accounts, Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc, Analytics and risk management along with asset allocation., I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds."
19,"mobile banking facilitation, payment facilitation","Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization., I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds."
16,fraud awareness education,"I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds."
5,"Billing, handling payments","Billing, customer service, appointment booking,floor incharge,billing, Server at a restaurant"
6,"customer service, appointment booking, taking orders, customer service, managing reservations, addressing customer inquiries","Billing, customer service, appointment booking,floor incharge,billing, Server at a restaurant"
11,"floor in-charge, cashier","Billing, customer service, appointment booking,floor incharge,billing, Selling of good, diamond,platinum ti customers ,handling stock, casheir"
9,"handling stock, Manage processes, risk management, Salesforce management","Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed., Selling of good, diamond,platinum ti customers ,handling stock, casheir, Analytics and risk management along with asset allocation., Manage All processes of manufacturing and retail units."
21,"Data migration, dataflow replication",Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.
22,"Azure Data Factory (ADF), Alteryx, SQL Server Management Studio (SSMS), SQL Server Integration Services (SSIS)",Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.
29,stored procedures,Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.
38,"Tableau, Power BI","Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI"
31,"students, pass, exams",Help students pass exams
37,"production, manufacturing, Automation QA development, backend software development, product development","Marketing, production, expansion, I was responsible for developing the backend software development requirements for the Team's product., Manage All processes of manufacturing and retail units., Automation QA development"
2,"expansion, business diversification","Marketing, production, expansion, Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed."
40,Board design,"Board design, circuit debugging"
23,"circuit debugging, Troubleshooting","Board design, circuit debugging, Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products."
34,"Tax Audit, GST Audit","Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc"
17,"ITR Fillings, GST Return Fillings, TDS Fillings","Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc"
14,"legal action management, tax collection enforcement, legal condemnation management","Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization."
15,indemnization tracking,"Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization."
25,imaging techniques,"Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed."
13,overall flow of the wellness center,"Assisting doctor, handling patients, technical operations, overall flow of the wellness center"
3,"serving food and beverages, providing menu recommendations, collaborating with kitchen staff",Server at a restaurant
7,maintaining cleanliness,Server at a restaurant
